id,II-B-INCLUDED,2-b-included,Topic,Topic II,type,II-B-CONTACTED,link-text,title,description,link,REC-ommendation to be mapped to (for the II-B-INCLUDED only) - for the rest still Additional info,Additional info,
25,YY,Y,Data protection,II - Preparing your data for publication,KB-i,DONE,European Commission Data Protection Guide,European Commission Data Protection Guide (September 2019 edition),September 2019 edition,https://myintracomm.ec.europa.eu/sg/Documents/data_protection_guide.pdf,REC- Protect personal data,,
26,,Y,Data protection,,KB-x,,Flowcharts and Checklists on Data Protection,,Brochure from the European Data Protection Supervisor (July 2020),https://edps.europa.eu/sites/default/files/publication/flowcharts_and_checklists_on_data_protection_brochure_en_1.pdf,Concise and visual,,
27,YY,YY,Data protection,II - Preparing your data for publication,R-,DONE,European Commission Data Protection Coordinators (DPCs),European Commission Data Protection Coordinators (DPCs): a list with contact details,"A Data Prodection Coordinator (DBC), as part of the data protection governance of the European Commission is the first level of contact for data protection related issues in each Directorate General (DG). The link points to a list of DPCs, assistants and functional mailboxes across DGs.",https://myintracomm.ec.europa.eu/sg/dpo/Documents/dpc_list.pdf,REC- Protect personal data,,
28,,M,Data protection,,R,,Data protection actors,,Controller; Processor; Data Protection Coordinators (DPCs); Data Protection Officer (DPO); European Data Protection Supervisor (EDPS),https://myintracomm.ec.europa.eu/sg/dpo/Pages/actors.aspx,,,
29,,Y,Data protection,,S,,DPO Public Register,,Register of the Data Protection Officer (DPO) - keeping records of all data processing operations under the 2018 data protection regulation (GDPR),https://ec.europa.eu/dpo-register/,EC corporate,,
30,YY,YY,Dataviz,II - Creating data visualisations,R-,,EU Community of Practice on Data Visualisation,Interinstitutional Community of Practice on Data Visualisation,Interinstitutional community space to share and learn about data visualisation,https://webgate.ec.europa.eu/connected/groups/data-visualisation,"REC- Follow best design + dataviz design

","Problem with R- solved, so #30 was moved to Contacts",
31,,Y,Dataviz,,KB-i,,Data visualisation tutorial,,"A tutorial explaining all the steps in the visualisation design process, including guidance on how to use the tutorial. It also includes a fast-track checklist for dataviz projects",https://webgate.ec.europa.eu/fpfis/wikis/display/EUODDVC/Training+material+-+Data+visualisation+tutorial,,,
32,,Y,Dataviz,,KB-i,,Data visualisation  training programme (Mar-Oct 2019),,"Consisting of 5 trainings, 3 workshops and 4 webinars. ",https://webgate.ec.europa.eu/fpfis/wikis/display/EUODDVC/Training+material+-+Data+visualisation+training+programme,The link points to the overview page of the programme on the ODC wiki; each session is further detailed in a dedicated subpage,,
33,YY,Y,Dataviz,II - Creating data visualisations,KB-x,,Training programme on dataviz,Data visualisation training with Maarten Lambrechts: 3 webinars (2019),Consists of 3 webinars delivered by Maarten Lambrechts - part of a wider dataviz training package for internal audience,https://academy.europa.eu/courses/data-visualisation,,Also available under the EU DataViz series of webinars (https://www.youtube.com/watch?v=P5LJGdmRzD0&list=PLT5rARDev_rnycvW6qNol1_uGyR5FAd-5) on OP YouTube,
34,YY,Y,Dataviz,II - Creating data visualisations,KB-x,,EU DataViz webinars,EU DataViz on data.europa academy: webinars and training material,The EU DataViz webinar series on data.europa academy with related training material,https://data.europa.eu/en/academy/data-visualisation,REC- Follow best dataviz design,https://www.youtube.com/watch?v=P5LJGdmRzD0&list=PLT5rARDev_rnycvW6qNol1_uGyR5FAd-5,Collection of > 20 webinars on data visualisation
35,,N,Dataviz,,KB-x,,Visual Vocabulary by the Financial Times,,,https://ft-interactive.github.io/visual-vocabulary/,"This is a nice resource but I think the ""Data Viz Project"" is a little more helpful (see #87)",,
36,,M,Dataviz,,KB-x,,,,,https://chartmaker.visualisingdata.com/,"Adina to check, keep/remove/complete and describe this part of the list",,
37,YY,YY,Dataviz,II - Creating data visualisations,KB-x,,RawGraphs,RawGraphs: an online tool for chartmaking,Try more unusual chart types in this online tool.,https://rawgraphs.io/,"REC- Choose the right type of visualisation
","Adina to check, keep/remove/complete and describe this part of the list",
38,,M,Dataviz,,KB-x,,,,,https://stephanieevergreen.com/data-visualization-checklist/,"Adina to check, keep/remove/complete and describe this part of the list",,
39,,M,Dataviz,,KB-x,,,,,https://charticulator.com/,"Adina to check, keep/remove/complete and describe this part of the list",,
40,,M,Dataviz,,KB-x,,,,,https://fastcharts.io/,"Adina to check, keep/remove/complete and describe this part of the list",,
41,,M,Dataviz,,KB-x,,,,,https://quartz.github.io/Chartbuilder/,"Adina to check, keep/remove/complete and describe this part of the list",,
42,YY,Y,Dataviz,,S-,,,Publications Office information and data visualisation service,Introduce a request for an interactive data visualisation via Dempub,https://webgate.ec.europa.eu/multisite/publicare/page/information-visualisation-1032,REC- Decide which interactive functionalities to offer,,
43,,M,Metadata,,KB-i,,Data model DCAT-AP-OP,,The data model of the EU ODP Legacy (the part of data.europa.eu that references datasets from the EU Institutions and bodies),https://webgate.ec.europa.eu/fpfis/wikis/pages/viewpage.action?pageId=227287430,Overview page on the ODC wiki linking to further resources - its subpages provide a deep dive ,,
44,YY,YY,Metadata,II - Preparing your data for publication,KB-x,,Data.europa.eu Data Quality Guidelines,"Data.europa.eu Data Quality Guidelines: recommendations for data providers, including a checklist","A set of recommendations addressed to data providers to support them in preparing their data, developing their data strategy and ensuring data quality. Contains also a checklist with the most important steps for improving the quality of data and metadata.",https://op.europa.eu/en/publication-detail/-/publication/b601d9cc-b3c0-11ec-9d96-01aa75ed71a1/language-en/format-PDF/source-258598099,REC- Describe your data with metada,"The publication contains a set of recommendations for delivering high-quality. They are addressed to data providers to support them in preparing their data, developing their data strategy and ensuring data quality. It is composed of the following four parts: 1. Recommendations for providing high-quality data. The recommendations cover general aspects of quality issues regarding the findability, accessibility, interoperability and reusability of data (including specific recommendations for common file formats like CSV, JSON, RDF and XML); 2. Recommendations for data standardization (with EU controlled vocabularies) and data enrichment; 3. Recommendations for documenting data; 4. Recommendations for improving the ‘openness level’. At the end of the publication the reader will find a glossary, a table with the overview of quality indicators and metrics, a checklist with the most important steps for improving the quality of data and metadata and a list of literature.",
45,YY,Y,Metadata,II - Preparing your data for publication,KB-x,Y,EuroVoc,EuroVoc: multilingual and multidisciplinary thesaurus covering the activities of the EU ,"EuroVoc is a multilingual, multidisciplinary thesaurus covering the activities of the EU. It contains terms in 23 official EU languages, plus in three languages of countries which are candidates for EU accession. EuroVoc uses semantic web technologies that reflect World Wide Web Consortium (W3C)
recommendations and the latest trends in thesaurus standards. ",https://op.europa.eu/en/web/eu-vocabularies/dataset/-/resource?uri=http://publications.europa.eu/resource/dataset/eurovoc,REC- Describe your data with metadata,,
46,,Y,Metadata,,KB-x,,EU Vocabularies,,"The vocabularies managed by the EU institutions and bodies. This includes controlled vocabularies, schemas, ontologies, data models, etc. ",https://op.europa.eu/en/web/eu-vocabularies,Duplicate of 123,,
47,,YY,Metadata,,KB-x,,DCAT,,"The Data Catalog Vocabulary (DCAT) is a vocabulary designed to facilitate interoperability
between data catalogs published on the Web. DCAT enables a publisher to describe
datasets and data services in a catalog using a standard model and vocabulary that
facilitates the consumption and aggregation of metadata from multiple catalogs. The link points to the W3C Recommendation (DCAT version 2, Feb 2020). DCAT version 3 under development.",https://www.w3.org/TR/2020/REC-vocab-dcat-2-20200204/,,,
48,YY,YY,Metadata,II - Preparing your data for publication,KB-x,,DCAT and DCAT-AP self-paced courses,Data.europa academy training on DCAT and DCAT-AP: self-paced courses for basic to advanced users,A data.europa academy training consisting of 3 courses on DCAT and DCAT-AP (General introduction; Basic user; Advanced user) and reading resources,https://data.europa.eu/en/academy?keywords=DCAT&sort_by=changed&sort_order=DESC,REC- Describe your data with metada,https://academy.europa.eu/courses/?search=DCAT,"- Overview of the package (for EU staff): https://webgate.ec.europa.eu/fpfis/wikis/display/EUODDVC/DCAT+and+DCAT-AP+webinars
- Also available on YouTube (for externals; link to slide deck in the description): 
Webinar (1) https://www.youtube.com/watch?v=_JB93__aj_M&pp=sAQA
Webinar (2) https://www.youtube.com/watch?v=Za1XgjisosM&pp=sAQA
Webinar (3) https://www.youtube.com/watch?v=etUu24hNgz4&pp=sAQA"
49,,M,Metadata,,KB-x,,Eurovoc Handbook,,,https://op.europa.eu/o/opportal-service/euvoc-download-handler?cellarURI=http%3A%2F%2Fpublications.europa.eu%2Fresource%2Fdistribution%2Fdocumentation%2Feurovoc%2Fhandbook%2Fpdf%2Fstddoc%2FEuroVoc-Handbook.pdf&fileName=EuroVoc-Handbook.pdf,,,
50,,Y,Metadata,,R,,EU Vocabularies team in OP,,,OP-EU-VOCABULARIES@publications.europa.eu,FMB - EC corporate,,
51,,M,Open data,,KB-i,,,,"Open Data Community wiki (ODC wiki), maintained by the Open Data team",https://webgate.ec.europa.eu/fpfis/wikis/pages/viewpage.action?spaceKey=EUODDVC&title=EU+Open+Data+Community+Home,"Still in the making - not very well organised and not updated to the post-merge era. Some parts are worth linking to directly. CON - if we do use it, it needs updating. PRO - we can pick info and links",,
52,,YY,Open data,,KB-i,,,,FAIR principles and related resources,https://webgate.ec.europa.eu/fpfis/wikis/pages/viewpage.action?pageId=530157739,Page on ODC wiki,,
53,YY,YY,Open data,II - Preparing your data for publication,KB-i,,Open Data Guide,EU Open Data: the Basics for EU Data Providers (2016 edition),"EU open data - The basics for EU data providers (Publications Office, 2016)",https://op.europa.eu/en/publication-detail/-/publication/c631a6de-ecd5-11e5-8a81-01aa75ed71a1,"REC- Structure your data in machine-readable
REC- Improve the openness level - still to me mapped
Some parts outdated but data publishing lifecycle more or less ok",,
54,,M,Open data,,KB-i,,Landscaping surveys on open data,,"Conclusions and recommendations of the exercise: Open Data in Commission DGs (2017), EU Agencies (2018) and EU Institutions (2019)",https://webgate.ec.europa.eu/fpfis/wikis/display/EUODDVC/Landscaping+surveys+on+open+data,Page on the ODC wiki,,
55,Y,YY,Open data,,KB-x,,data.europa academy,data.europa academy: the learning corner of data.europa.eu,"Learning corner for Open Data on the data.europa.eu portal, with 4 thematic pillars: Policy | Impact | Technology | Quality",https://data.europa.eu/en/academy,"REC- ???
We could skip it and just point them to the data providers corner on the academy",,
56,YY,YY,Open data,II - Preparing your data for publication,KB-x,,eLearning programme on open data,e-Learning programme on open data: for all levels of expertise,"eLearning programme on data.europa academy, consisting of 16 modules covering all aspects of open data. Suits all needs from complete newcomer to an expert. Available in EN, FR, IT, DE, ES, SV",https://data.europa.eu/elearning/en/#/id/co-01,"REC- Structure your data in machine-readable
REC- Improve the openness level - still to be mapped",,
57,,YY,Open data,,KB-x,,Guides on the ODI (Open Data Institute),,"From data publishing to ethics, free guides created by experts from the ODI and beyond",https://theodi.org/knowledge-opinion/guides/,ODI = Open Data Institute,,
58,,YY,Open data,,KB-x,,Open Research Europe Data Guidelines,,"Specific to research data; Provide information about research data that needs to be included when publishing an article in Open Research Europe, where data can be stored and how data should be presented",https://open-research-europe.ec.europa.eu/for-authors/data-guidelines,,,
59,,Y,Open data,,KB-x,,Guiding you in Open Science,,(specific to research data) OpenAIRE guides supporting the research community on its way to Open Science,https://www.openaire.eu/guides,,,
60,,Y,Open data,,KB-x,,FAIR principles,,How to make your data FAIR - OpenAIRE guide (specific to research data),https://www.openaire.eu/how-to-make-your-data-fair,,,
61,,M,Open data,,KB-x,,FAIR Data Maturity Model,,"FAIR Data Maturity Model: Specification and Guidelines (RDA, 2020)",https://www.rd-alliance.org/sites/default/files/FAIR%20Data%20Maturity%20Model.pdf,,,
62,YY,YY,Open data,II - Publishing the data and the data visualisations with your publication,R,,Publications Office Open Data team,Publications Office Open Data team,,mailto:OP-DATA-EUROPA-EU@publications.europa.eu,REC- Publish your data in a data catalogue,,
63,YY+,YY,Open data,II - Publishing the data and the data visualisations with your publication,S,,data.europa.eu,The open data catalogue data.europa.eu: the official portal for European data,The official portal for European data,https://data.europa.eu/en,REC- Publish your data in a data catalogue,,
64,,M,Persistent identification & citation,,KB-i,,EU citation style,,Report on harmonisation of the EU citation styles,,Need to ask Aga for the latest deliverables,,
65,,Y,Persistent identification & citation,,KB-i,,URI,,A Uniform Resource Identifier (URI) is a compact sequence of characters that identifies an abstract or physical resource. The link points to the pURI Committee wiki,https://webgate.ec.europa.eu/fpfis/wikis/display/uricommittee/URI+Committee+Home,the resource in the wiki needs to be updated (Xavier has just aked Alexandre Angers for updates),https://webgate.ec.europa.eu/fpfis/wikis/pages/viewpage.action?spaceKey=uricommittee&title=URI+Committee+Home,
66,,M,Persistent identification & citation,,KB-x,,Resources with persistent URIs,,List of 'Resources with persistent URIs of the EU institutions and bodies',https://data.europa.eu/URI.html,Page on data.europa.eu (DEU) - could help understand URIs via examples of resources that use them,,
67,,Y,Persistent identification & citation,,KB-x,,the DOI® System,,,https://www.doi.org/ ,REC- Describe your data with metadata - To be considered in a next edition where explicit mention to DOIs will be made,,
68,,Y,Persistent identification & citation,,KB-x,,DCAT-AP,,"The DCAT Application Profile for data portals in Europe (DCAT-AP) is a specification based on the Data Catalogue Vocabulary (DCAT) developed by W3C. This application profile is a specification for metadata records to meet the specific application needs of data portals in Europe while providing semantic interoperability with other applications on the basis of reuse of established controlled vocabularies (e.g. EuroVoc) and mappings to existing metadata vocabularies (e.g. Dublin Core, SDMX, INSPIRE",https://joinup.ec.europa.eu/collection/semantic-interoperability-community-semic/solution/dcat-application-profile-data-portals-europe?page=0,,,
69,,M,Persistent identification & citation,,R,,URI team in OP,,Functional Mailbox (FMB),OP-URI@publications.europa.eu,,,
70,,Y,Persistent identification & citation,,R,,DOI team in OP,,"EU Digital Object Identifier (DOI) service for datasets, publications and articles",OPDL-DOIRA@publications.europa.eu,FMB,,
71,,M,Persistent identification & citation,,S,,European Citation Tool project,,Citation tool under development by OP - prototype ready,[prototype location can't be shared],"DESIRED FEATURES:
1st functionality: Implementation of a “Citation button” in the OP portal (including Eurlex), promoting the use of persistent identifiers and its resolvable links | 2nd functionality: stand-alone tool offering different possibilities to external users for citation (multilinguism, customisable styles, inclusion of an EU Citation Style, exportable lists, tool embedded in their portals,…) 
PROTOTYPE: 
https://ra-publications-dev.medra.org/citation-tool/ect-standalone.html 
Login: TEST_CITA
Password: HZICN4LG",,
72,,Y,Persistent identification & citation,,S,,DemPub,,Introduce a request for identifiers via DemPub,https://op.europa.eu/en/web/Dempubweb/Dempub,Pertinent to publications AND datasets,,
73,,M,Persistent identification & citation,,,,URI vs DOI,,"Study analysing the differences between the use of pURIs and DOIs (PwC EU Services, 2018)",https://webgate.ec.europa.eu/fpfis/wikis/download/attachments/530157739/D04.02.3%20Comparison%20of%20using%20PURI%20%20DOI%20v0.14.docx?version=1&modificationDate=1593689423916&api=v2,,,
74,,Y,Publishing,,KB-i,,,,Graphic Design Style Guide,,To be requested - OP.B2,,
75,,N,Publishing,,KB-i,,Checklists from the training on the Publishing Cycle,,,,Provide the EU Learn link? It expires… Better ask Aija or Helle (B.3) for a more permanent one ,,
76,,Y,Publishing,,KB-x,,Interinstitutional Style Guide,,Interinstitutional Style Guide (ISG),https://publications.europa.eu/code/en/en-000100.htm,The European Citation Style (currently under development under the Citation Tool project) will eventually be integrated in the ISG,,
77,YY,YY,Publishing,,KB-x,,Publications Office mini-site on accessible publishing,"Accessible publishing: concepts, tools, tips and tutorials","Contains an eLearning module of video tutorials on accessible digital publishing (inclusive publishing), and other pertinent documents and external links.",https://op.europa.eu/en/web/accessibility,"REC- Use a consistent text hierarchy
REC- Write alt text",,
78,,Y,Publishing,,R,,DemPub team,,FMB,OP-Dempubweb@ec.europa.eu,Not sure if this is a second level FMB (for internal use). Need to clarify if the right address is OP SERVICES REQUEST,,
79,YY,YY,Publishing,,R,,Publications Office Accessible Publishing team,Publications Office Accessible Publishing team,,mailto:OP-ACCESSIBLE-PUBLICATIONS@publications.europa.eu,,FMB - OP team on accessible publications,
80,YY,YY,Publishing,II - Publishing the data and the data visualisations with your publication,R,Y,Publications Office Front Desk for Authors team,Publications Office Front Desk for Authors team,,mailto:OP-SERVICES-REQUEST@publications.europa.eu,REC- Publish your data in a data catalogue,,
81,YY,YY,Publishing,,R,DONE,Publications Office Editorial Advice  team,Publications Office Editorial Advice team,,mailto:OP-EDITORIAL-SUPPORT-SERVICES@publications.europa.eu,"REC- Create a consistent, logical sequence of text and viz",FMB - Editorial support team,
82,,Y,Publishing,,S,,Interinstitutional Database for EU Studies,,"A common entry point to study projects planned or already conducted on behalf of the EU institutions and bodies. As well as providing information on each study project registered, this repository also contains documents resulting from these projects, whether public or restricted to inter-institutional access.",https://webgate.ec.testa.eu/publications/studiesdb/Home.action,Repository for studies after May 2016,,
83,Y,YY,Publishing,,S-,,PubliCare,PubliCare: online catalogue of the Publications Office services,Online catalogue of OP services - available to EU staff,https://webgate.ec.europa.eu/multisite/publicare/en,"REC- ??? It's mentioned in the intro paragraph of the Publish chapter => how to reference it?
I tried Adina's suggestion for the whole URL but it doesn't look nice, plus there will be text wrapping issues.
",available to EU staff only,
84,YY,YY,Publishing,II - Publishing the data and the data visualisations with your publication,S-,Y,Dempub,Dempub: online platform for creating and managing requests for the Publications Office services,"Web platform for introducing requests for OP services (other than the Official Journal) - available to EU staff, sign-in required (EU Login may be used as alternative to an OP portal account)",https://op.europa.eu/en/web/Dempubweb/Dempub,REC- Publish your data in a data catalogue,,
85,N,YY,Publishing,,S-,Y?,Dempub,,"Introduce a request for editorial support services (collaborative planning, editorial advice, performance measurement) via Dempub",https://op.europa.eu/en/web/Dempubweb/Dempub,"REC- Use a consistent text hierarchy TBC how it looks with the short description
THIS REC MAY BE REMOVED ALTOGETHER","For services, we provide a link to PubliCare, then list Dempub as a separate Resource and the Front desk for authors in the Contacts",
86,,M,Publishing,,KB-i,,OP domain training in EU Learn,,"A series of courses, online webinars and e-learning modules covering the publishing cycle, offered on EU Learn",https://webgate.ec.europa.eu/ilp/pages/catalogsearch.jsf?catalogId=0&sidebarExpanded=true&q=%7B!q.op%3DAND%7D%20OPdomaintraining&rows=7,OP-DOMAIN-TRAINING@publications.europa.eu,,
87,YY,YY,Dataviz,II - Creating data visualisations,KB-x,,The Data Viz Project,The Data Viz Project: a chart encyclopedia,Find the right visualisation type by browsing this chart encyclopedia.,https://datavizproject.com/,,New from Adina,
88,YY,YY,Writing,II - Writing about data,KB-x,,"All about legibility, readablility, and comprehension","All about legibility, readablility, and comprehension","Learn about legibility, readabiltiy, and comprehension. ",https://www.nngroup.com/articles/legibility-readability-comprehension/,"REC- Write for the web (last)
REC- Write in plain language (first)
REC- Text design
",New from Adina,
89,YY,YY,Writing,,KB-x,,Using plain language,Using plain language,An article that summarizes current research on plain language and provides practical instructions to write in plain language. ,https://www.nngroup.com/articles/plain-language-experts/,"REC- Use plain language
",New from Adina,
90,,Y,Dataviz,,S,,GISCO IMAGE,GISCO IMAGE: a European Commission tool for producing maps,"IMAGE is a web-tool used for the production of Thematic Maps for a pre-defined map extent of the EU/EFTA/Candidate Countries using NUTS boundaries and Statistical regions. It is intended to enable users to quickly make professional, statistical maps for publication that adhere to Eurostat's Style guide.",https://gisco-services.ec.europa.eu/image/#/a4-efta-2016,Commission only. Available documentation: Help file | Short video demonstration | Training exercises,,
91,,Y,Publishing,,KB-x,,ESTAT Graphical Style Guide,,The Eurostat graphical style guide describes rules and conventions for the layout of Eurostat publications. It was developed as a complement of the Interinstitutional Style Guide.,https://ec.europa.eu/eurostat/documents/4187653/7192088/STYLE_GUIDE_2016.pdf/dbdf7b92-5ac5-4313-ae80-296f52692e5c?t=1457450262000,,,
92,,M,Open data,,KB-x,,The Third Wave of Open Data Toolkit,,"Operational guidance on capturing the institutional and societal value of data reuse (March 2021, The GovLab)",http://files.thegovlab.org/The-Third-Wave-of-Open-Data-Toolkit.pdf,"This toolkit does not intend to provide specific recommendations as to data management practices. Instead, it aims to provide general principles that data leaders can implement at the organizations they oversee.",,
93,YY,YY,Writing,,KB-x,,How people read online,How people read online,A summary of current research on how people read online,https://www.nngroup.com/articles/how-people-read-online/,REC- Write for the web,,
94,YY,YY,Writing,,KB-x,,Succinct writing,Be succinct when writing for the web,A guide to writing clearly and consicely.,https://www.nngroup.com/articles/be-succinct-writing-for-the-web/,REC- Write for the web,,
95,YY,YY,Writing,,KB-x,,The inverted pyramid structure,How to use the inverted pyramid structure in your texts,Instruction on how to use the inverted pyramid structure in your texts. ,https://www.nngroup.com/articles/inverted-pyramid/,REC- Write for the web,,
96,,YY,Writing,,KB-x,,The four dimensions of tone of voice,,,https://www.nngroup.com/articles/tone-of-voice-dimensions/?lm=tone-voice-users&pt=article,,,
97,,YY,Writing,,KB-x,,Writing for web accessibility,Writing tips for web accessibility,"Some basic considerations to help you get started writing web content that is more accessible to people with disabilities. These tips are good practice to help you meet Web Content Accessibility Guidelines (WCAG) requirements. Follow the links to the related WCAG requirements, detailed background in the “Understanding” document, guidance from Tutorials, user stories, and more.",https://www.w3.org/WAI/tips/writing,,,
98,,YY,Dataviz,,KB-x,,What to consider when visualizing data for colorblind readers,,Part two of a three part series by DataWrapper on visualizing data for colorblind readers. ,https://blog.datawrapper.de/colorblindness-part2/,,,
99,,YY,Dataviz,,KB-x,,An intro to designing accessible data visualisations,,10 dos and don'ts to keep in mind when designing accessible data visualisations,https://fossheim.io/writing/posts/accessible-dataviz-design/,,,
