id,id-a,topic,title,description,link
23,18,Structure,"Key figures on Europe – Statistics Illustrated, Eurostat (2020)","On page 6 and 7, this publication gives an overview over the data used in the publication, explains the spatial and temporal coverage of the data and provides the reader with instructions as to where they can find the data.",https://ec.europa.eu/eurostat/documents/3217494/11432756/KS-EI-20-001-EN-N.pdf/6b9097d9-ea05-a973-d931-c08334db979b?t=1602776043000
24,2,Structure,"Early Childhood Education and Care in Europe, Eurydice / EACEA (2019)",This publication contains a classic table of figures.,https://op.europa.eu/en/publication-detail/-/publication/5816a817-b72a-11e9-9d01-01aa75ed71a1
25,19,Structure,"National Climate Assessment, US Global Change Research Program (2014)",The National Climate Assessment 2014 uses full-width images to delineate sections and alternates text with interactive charts. This balance between visual elements and text gives the report structure and makes it more enjoyable to read.,https://nca2014.globalchange.gov/report/sectors/energy
26,18,Structure,"Key figures on Europe – Statistics Illustrated, Eurostat (2020)","In this publication, the text is always right below or above the data visualisation, making it easier for the reader to read the text and the visualisation together.",https://ec.europa.eu/eurostat/documents/3217494/11432756/KS-EI-20-001-EN-N.pdf/6b9097d9-ea05-a973-d931-c08334db979b?t=1602776043000
27,1,Write,"Wellbeing in Germany, The Federal Government Germany (2016) ","This publication uses short, concise paragraphs. The formatting of the text (e.g. as title, quotes, body text, etc.) also provides a clear visual hierarchy. ",https://www.gut-leben-in-deutschland.de/report/health
28,1,Prepare Data,"Wellbeing in Germany, The Federal Government Germany (2016) ","In this publication, the licence is clearly stated and explained, both for the visualisations and for the data. ",https://www.gut-leben-in-deutschland.de/indicators/health/obesity
29,1,Structure,"Wellbeing in Germany, The Federal Government Germany (2016) ",This publication collects all the visualisations on one page named ‘Indicators’. On that page you can download the visualisations and have access to the data behind the visualisations. ,https://www.gut-leben-in-deutschland.de/indicators
30,,Write,"Vacination Dashboard, The Federal Government Germany (2021) ",This website contains text that is automated based on live data. ,https://impfdashboard.de/en/
31,,Prepare Data,Eurostat Data Browser,The Eurostat Data Browser allows users to download the full dataset as well as a custom dataset. ,https://ec.europa.eu/eurostat/databrowser/view/cens_21ua_a5/default/table?lang=en
33,,Prepare Data,"Paying the Price of War, OECD Economic Outlook, Interim Report September 2022",The digital report offers multiple download options: Download all data; Download the report data; Download the presentation data. ,OECD Economic Outlook
34,,Visualise,MyHelsinki Open API,Helsinki Marketing provides access to three different databases via an API. ,https://open-api.myhelsinki.fi/
35,,Write,"Paying the Price of War, OECD Economic Outlook, Interim Report September 2022",The digital report puts the main insights at the very beginning and then adds more details below. ,https://www.oecd.org/economic-outlook/september-2022
36,,Publish,"Regions in Europe -  2022 interactive edition, Eurostat (2022)",This interactive edition of the publication gives users the possibility to add the charts to their own websites by providing an embed code.,https://ec.europa.eu/eurostat/cache/digpub/regions
37,,Structure,"Key figures on the
European food chain, Eurostat (2022)","In the introduction of this publication, the data is described in a dedicated section, including coverage, methodology and limitations.",https://ec.europa.eu/eurostat/documents/15216629/15559935/KS-FK-22-001-EN-N.pdf/1cb9d295-6868-70e3-0319-4725040cfdb8?version=3.0&t=1670599965263
38,,Publish,"Study on Energy Storage, DG ENER (2020)","This publication provides access via a permanent link to the main deliverable of the study, which is published as an open dataset on data.europa.eu.",https://op.europa.eu/en/publication-detail/-/publication/a6eba083-932e-11ea-aac4-01aa75ed71a1
39,,Publish,"'Inventory of regocnised producer organisations in the EU's agricultural sector', DG AGRI (2019)","This open dataset published on data.europa.eu is ANNEX VIII to the 'Study of the best ways for producer organisations to be formed, carry out their activities and supported', and can be accessed via a permanent link directly from the publication.",http://data.europa.eu/88u/dataset/inventory-of-recognised-producer-organisations?locale=en
40,,Prepare Data,"'City transport by bus by autonomous community', Instituto Nacional de Estadística (2012)",This dataset is maide available in multiple formats.,http://data.europa.eu/88u/dataset/urn-ine-es-tabla-t3-355-20240?locale=en
41,,Structure,"Confronting the Crisis, OECD Economic Outlook (Volume 2022 Issue 2)","The OECD, in a well-structured way, references and provides access not only to the tables and graphs of the publication, but also to the related database(s) from which the data has been extracted.",https://doi.org/10.1787/f6da2159-en
42,,Prepare Data,"'14-day age-specific notification rate of new COVID-19 cases', European Centre for Desease Prevention and Control (2021) ","In this ECDC open dataset, all that users need to understand the data is documented in a separate file, which is then published along with the dataset.",http://data.europa.eu/88u/dataset/14-day-age-specific-notification-rate-of-new-covid-19-cases?locale=en
43,,Prepare Data,"'Results of the Open Data Maturity assessment 2022', DG COMM (2022)",The CSV-formatted (Comma-Separated Values) distributions of this dataset follow the format-specific recommendations provided in the Data Quality Guidelines (p. 29-37). ,http://data.europa.eu/88u/dataset/open-data-maturity-assessment-results-2022?locale=en
